date,category,title,amount
2025-01-15,salary,Salário Empresa Tech,5000.00
2025-01-16,transport,Uber Centro,-25.50
2025-01-17,food,iFood Almoço,-45.80
2025-01-18,shopping,Amazon Livros,-120.00
2025-01-19,health,Farmácia Drogasil,-35.20
2025-01-20,entertainment,Netflix,-29.90
2025-01-21,food,Supermercado Pão de Açúcar,-250.75
2025-01-22,transport,Gasolina Posto Shell,-180.00
2025-01-23,income,Freelancer Design,800.00
2025-01-24,bills,Conta de Luz,-120.45
2025-01-25,food,Restaurante Japonês,-85.60
2025-01-26,shopping,Zara Roupas,-320.00
2025-01-27,transport,Uber Shopping,-18.30
2025-01-28,health,Consulta Médica,-150.00
2025-01-29,entertainment,Cinema,-35.00
2025-01-30,food,Padaria,-12.50
